Time,Velocity,Acceleration,Altitude,Thrust 
9.389999999999844,25.32071537479167,-4.059462358588206,114.97768351764809,14.5
9.399999999999844,25.28014338757683,-4.057198721484311,115.06421608247962,14.5
9.409999999999844,25.23959398787889,-4.05493996979376,115.15060992156926,14.5
9.419999999999844,25.199067126931485,-4.052686094740516,115.23686511208747,14.5
9.429999999999843,25.158562756055744,-4.05043708757422,115.32298173103807,14.5
9.439999999999843,25.118080826660044,-4.048192939570106,115.40895985525854,14.5
9.449999999999843,25.07762129023975,-4.045953642028933,115.49479956142032,14.5
9.459999999999843,25.037184098376983,-4.0437191862769,115.58050092602909,14.5
9.469999999999843,24.996769202740328,-4.041489563665577,115.66606402542507,14.5
9.479999999999842,24.95637655508461,-4.039264765571824,115.75148893578337,14.5
9.489999999999842,24.91600610725063,-4.037044783397714,115.8367757331142,14.5
9.499999999999842,24.875657811164928,-4.034829608570458,115.92192449326319,14.5
9.509999999999842,24.835331618839504,-4.032619232542335,116.00693529191174,14.5
9.519999999999841,24.795027482371594,-4.030413646790607,116.09180820457725,14.5
9.529999999999841,24.754745353943417,-4.028212842817451,116.1765433066134,14.5
9.539999999999841,24.714485185821918,-4.026016812149884,116.2611406732105,14.5
9.54999999999984,24.67424693035852,-4.023825546339683,116.34560037939575,14.5
9.55999999999984,24.634030539988892,-4.021639036963321,116.4299225000335,14.5
9.56999999999984,24.59383596723267,-4.019457275621883,116.51410710982559,14.5
9.57999999999984,24.553663164693262,-4.017280253940996,116.59815428331159,14.5
9.58999999999984,24.51351208505756,-4.015107963570758,116.68206409486912,14.5
9.59999999999984,24.473382681095703,-4.012940396185666,116.76583661871412,14.5
9.60999999999984,24.43327490566086,-4.010777543484536,116.84947192890112,14.5
9.61999999999984,24.393188711688953,-4.008619397190437,116.93297009932358,14.5
9.62999999999984,24.35312405219845,-4.006465949050622,117.0163312037141,14.5
9.639999999999839,24.313080880290084,-4.004317190836442,117.09955531564474,14.5
9.649999999999839,24.27305914914665,-4.002173114343292,117.18264250852728,14.5
9.659999999999838,24.233058812032745,-4.000033711390528,117.26559285561355,14.5
9.669999999999838,24.19307982229453,-3.9978989738214015,117.34840642999565,14.5
9.679999999999838,24.1531221333595,-3.9957688935029827,117.43108330460628,14.5
9.689999999999838,24.113185698736235,-3.993643462326098,117.51362355221895,14.5
9.699999999999838,24.07327047201418,-3.9915226722052535,117.59602724544833,14.5
9.709999999999837,24.033376406863397,-3.9894065150785685,117.67829445675048,14.5
9.719999999999837,23.99350345703432,-3.987294982907705,117.76042525842315,14.5
9.729999999999837,23.95365157635754,-3.9851880676777958,117.84241972260605,14.5
9.739999999999837,23.913820718743565,-3.9830857613973785,117.92427792128109,14.5
9.749999999999837,23.87401083818258,-3.9809880560983273,118.00599992627271,14.5
9.759999999999836,23.834221888744224,-3.9788949438357797,118.0875858092481,14.5
9.769999999999836,23.794453824577346,-3.976806416688072,118.16903564171751,14.5
9.779999999999836,23.754706599909778,-3.974722466756672,118.2503494950345,14.5
9.789999999999836,23.71498016904812,-3.972643086166105,118.33152744039621,14.5
9.799999999999836,23.67527448637748,-3.970568267063896,118.41256954884366,14.5
